term_id,term,df
1370,bright,1417
1371,final,1478
1372,catastroph,476
1373,spirit,1532
1374,hymn,542
1375,weird,412
1376,irrepress,225
1377,token,606
1378,told,1570
1379,betoken,223
1380,disast,704
1381,sunday,996
1382,april,859
1383,quantiti,979
1384,richmond,241
1385,morn,1545
1386,regiment,610
1387,excess,958
1388,forefath,309
1389,weari,1234
1390,reaction,498
1391,reduc,1143
1392,gloom,805
1393,worn,1265
1394,apt,862
1395,fairli,1196
1396,statesmen,286
1397,select,1248
1398,bedeck,65
1399,accompani,1368
1400,tempor,332
1401,demoralis,73
1402,resolut,1076
1403,circl,1345
1404,advis,1247
1405,phenomenon,403
1406,perfect,1495
1407,quondam,73
1408,seven,1464
1409,semi,658
1410,quidnunc,6
1411,virginian,81
1412,moreov,944
1413,recollect,1007
1414,resort,843
1415,island,1094
1416,warm,1387
1417,apostl,356
1418,press,1526
1419,freed,553
1420,alarm,1193
1421,sudden,1382
1422,parallel,700
1423,pursu,1235
1424,notic,1544
1425,landscap,650
1426,multitud,821
1427,dog,1311
1428,charit,448
1429,mississippi,248
1430,valley,1005
1431,previous,850
1432,grotesqu,484
1433,gospel,499
1434,scriptur,479
1435,prayer,1125
1436,defici,550
1437,stride,638
1438,intens,1167
1439,prize,1006
1440,custom,1309
1441,marriag,1081
1442,bond,898
1443,peculiarli,594
1444,impoverish,237
1445,economi,621
1446,peculiar,1236
1448,sung,605
1449,bate,215
1450,supersed,326
1451,earth,1522
1452,sing,1280
1453,se,466
1454,myself,1453
1455,cottag,746
1456,grate,1177
1457,bank,1315
1458,immor,304
1459,militari,906
1460,divers,738
1461,strongli,1111
1462,undoubtedli,850
1463,function,691
1464,kelli,112
1465,fix,1492
1466,sprung,695
1467,restrict,580
1468,cash,505
1469,till,1469
1470,soil,1097
1471,heal,680
1472,administ,641
1473,highest,1262
1475,tongu,1326
1476,watchword,105
1477,dri,1398
1478,european,679
1479,tact,492
1480,ballast,148
1481,lose,1486
1482,issu,1219
1483,scarc,1379
1484,advertis,681
1485,latin,714
1486,wall,1503
1487,lofti,825
1488,hail,895
1489,doctor,1178
1490,divin,1098
1491,martinet,44
1493,lodg,1033
1494,footsor,59
1495,discov,1499
1496,pocket,1228
1497,step,1574
1498,stone,1476
1499,boldli,809
1500,admiss,645
1501,confront,657
1502,matron,309
1503,cheat,589
1504,applic,924
1505,perfectli,1344
1506,uncompromis,183
1507,oner,71
1508,afar,431
1509,paradis,700
1510,ideal,853
1511,hesit,1249
1512,pilgrim,422
1513,weather,1239
1514,formerli,895
1515,discipl,415
1516,prudenc,501
1517,ladi,1410
1518,indign,1009
1519,committe,576
1520,remonstr,559
1521,protest,1155
1522,denomin,314
1523,vain,1278
1524,outset,354
1525,autobiographi,166
1526,emili,121
1527,newcomb,22
1528,superintend,626
1529,mass,1329
1530,heavi,1467
1531,local,989
1532,appropri,933
1533,area,565
1534,elev,944
1535,improvid,101
1536,despis,832
1537,courag,1279
1538,real,1502
1539,argonaut,33
1540,teeth,1169
1541,driven,1237
1542,queen,1087
1543,guest,1115
1544,minist,983
1545,livelihood,246
1546,livingston,96
1547,healthi,814
1548,minor,832
1550,achiev,902
1551,proof,1211
1552,cool,1270
1553,commonli,672
1554,necess,1233
1555,score,1000
1556,tide,1064
1557,impart,673
1558,enlarg,780
1559,digniti,1102
1560,settl,1458
1561,larger,1237
1562,begun,1288
1563,housework,73
1564,ku,33
1565,klux,11
1566,klan,8
1567,dia,134
1568,action,1417
1569,numer,1102
1570,god,1443
1571,twelv,1350
1572,inferior,840
1573,anomal,95
1574,chariti,799
1575,reconstruct,278
1576,foment,91
1577,chao,411
1578,peac,1441
1579,superstit,574
1580,competit,472
1581,error,1030
1582,indulg,1041
1583,shine,1253
1584,doubtless,981
1585,spent,1376
1586,unfortun,1228
1587,creat,1200
1588,induc,1086
1589,farmer,822
1590,tendenc,802
1591,written,1469
1592,scientif,740
1593,fell,1479
1594,arctic,208
1595,creatur,1274
1596,diseas,944
1597,fascin,888
1598,beauti,1545
1599,temptat,809
1600,assum,1276
1601,occup,1108
1602,agit,864
1603,check,1178
1604,legisl,376
1605,magnific,999
1606,revisit,169
1607,gladli,833
1608,flag,932
1609,cordial,793
1610,resent,833
1611,hair,1435
1612,borrow,931
1613,tall,1195
1614,erect,1085
1615,nose,1168
1616,proud,1258
1617,gloomi,842
1618,sight,1568
1619,explain,1467
1620,africa,554
1621,submit,1017
1622,contin,737
1623,vastli,394
1624,tropic,459
1625,doubl,1377
1626,philanthrop,159
1627,preparatori,363
1628,territori,668
1629,constantli,1121
1630,seed,892
1631,foundat,991
1632,abund,892
1633,slavehold,39
1634,staff,775
1635,wast,1369
1636,outnumb,143
1637,asid,1364
1638,date,1229
1639,nine,1354
1640,lawyer,703
1641,shortli,1058
1642,mortgag,255
1643,flourish,880
1644,propos,1275
1645,reassur,521
1646,degre,1352
1647,approach,1475
1648,craze,210
1649,cook,1159
1650,sew,575
1651,dressmak,149
1652,departur,1046
1653,iron,1365
1655,physician,733
1656,broad,1333
1657,defend,1115
1658,emphasis,118
1659,tenth,710
1660,grammar,379
1661,mechan,980
1662,struggl,1347
1663,conquer,963
1664,latest,836
1665,librari,991
1666,carnegi,68
1667,rich,1462
1668,tour,654
1669,statesman,330
1670,difficult,1411
1671,oppos,1029
1672,urg,1232
1673,essenti,971
1674,vote,697
1675,cure,942
1676,voter,117
1677,profound,850
1678,identifi,638
1679,bell,1268
1680,largest,817
1681,ratio,222
1682,promot,786
1683,rent,886
1684,fifti,1353
1685,expand,643
1686,tennesse,130
1687,roger,360
1688,scholarship,239
1690,carpentri,40
1691,nurs,1025
1692,commend,737
1693,storey,102
1694,fourteen,890
1695,bricklay,56
1696,construct,986
1697,spoke,1421
1698,convict,1062
1699,cleveland,143
1700,successor,568
1701,henri,887
1702,gradi,27
1703,ray,982
1704,big,1269
1705,neck,1366
1706,feet,1566
1707,wave,1320
1708,finger,1360
1709,paper,1469
1710,row,1226
1711,marri,1240
1712,princip,1150
1713,thrift,153
1714,peach,345
1715,gallon,261
1716,milk,943
1717,sanit,69
1718,poultri,216
1719,fowl,534
1720,orchard,415
1721,garden,1322
1722,februari,659
1723,forese,410
1724,entertain,1217
1725,essex,172
1726,ambassador,421
1727,depriv,865
1728,fidel,486
1729,therefor,1468
1730,deriv,838
1731,hopeless,873
1732,frederick,358
1733,douglass,27
1734,brownfox,3
1735,onlin,932
1736,proofread,971
1737,http,810
1738,www,807
1739,pgdp,745
1740,net,1230
1741,seri,1106
1742,extra,817
1743,gilt,446
1744,conder,9
1745,gray,910
1746,eighth,657
1747,missionari,421
1749,lydia,80
1750,morri,235
1751,bristol,191
1752,fisher,283
1753,unwin,32
1754,paternost,88
1755,captain,1078
1756,mould,635
1757,ring,1359
1758,stir,1287
1759,ohio,260
1760,activ,1318
1761,contest,737
1762,august,953
1763,missourian,14
1764,whenc,1038
1765,seiz,1309
1766,arsen,259
1767,band,1191
1768,incit,298
1769,insurrect,238
1770,captur,883
1771,th,1082
1772,charlestown,37
1773,countrymen,544
1774,whittier,60
1775,thoreau,43
1776,emerson,177
1777,victor,527
1778,hugo,154
1779,sketch,872
1780,chap,680
1781,germani,649
1782,gigant,624
1783,sanguinari,160
1784,nomin,518
1785,hither,589
1786,thither,728
1787,grope,484
1788,midst,1171
1789,foremost,649
1790,eulog,195
1791,brilliant,1113
1792,vogu,262
1793,merit,1004
1794,weigh,1032
1795,whatsoev,429
1796,substanti,744
1797,claim,1376
1798,harri,577
1799,peck,264
1800,emin,914
1801,thinker,293
1802,psycholog,339
1803,fair,1537
1804,simplic,811
1805,underr,95
1806,footstep,780
1807,adam,693
1808,prescrib,520
1809,standpoint,285
1810,disquiet,248
1811,apprehens,767
1812,portent,274
1813,horizon,793
1814,darken,750
1815,wealthi,717
1816,thirteen,777
1817,broke,1357
1818,overs,168
1819,bad,1485
1820,unreliev,63
1821,seer,188
1822,foreseen,324
1823,exact,1194
1824,diffus,440
1825,stow,393
1826,legre,6
1827,non,916
1828,charl,938
1829,dicken,238
1830,novelist,248
1831,journalist,224
1832,forbid,857
1833,decay,730
1834,inequ,232
1835,remedi,851
1836,casey,37
1837,sam,324
1838,hero,1022
1839,imagin,1478
1840,fanci,1357
1841,precis,1045
1842,shoot,1098
1843,shapeless,192
1844,button,800
1845,trouser,554
1846,shoe,1060
1847,upper,1247
1848,ankl,512
1849,dirti,803
1850,towel,305
1851,drove,1121
1852,ox,412
1853,belabour,50
1854,tug,502
1855,unwieldi,145
1856,dexter,460
1857,load,1171
1858,absenc,1259
1859,link,884
1860,goad,260
1861,crook,646
1862,definit,1006
1863,crush,1070
1864,passiv,474
1865,unambiti,32
1866,oxen,321
1867,drive,1385
1868,unnatur,633
1869,masculin,369
1870,unsex,24
1871,assert,1041
1872,fiction,558
1873,dust,1206
1874,plausibl,405
1875,refut,279
1876,gossam,89
1877,tempest,531
1878,mute,535
1879,heed,790
1880,pedigre,159
1881,sold,1113
1882,furnitur,888
1883,rude,1063
1884,ventil,246
1885,pallet,89
1886,earthern,11
1887,draught,694
1888,earliest,807
1889,pastim,315
1890,varieti,1038
1891,sumptuou,249
